round,pulled_server_round,bytes_received_global,bytes_sent_update,train_sec,send_sec,ack_status,ack_current_round,rtt_sec,timestamp
0,0,7643,4083,5.051811,0.000885,WAITING,0,29.045843,2026-03-01 22:42:57
1,1,7643,4083,11.804810,0.001767,WAITING,1,2.745260,2026-03-01 22:43:12
2,2,7643,4083,10.375493,0.001507,WAITING,2,1.532776,2026-03-01 22:43:24
3,3,7643,4083,10.119871,0.003057,WAITING,3,1.226998,2026-03-01 22:43:35
4,4,7643,4083,10.150003,0.002257,WAITING,4,0.920021,2026-03-01 22:43:46
5,5,7643,4083,9.867305,0.001366,WAITING,5,1.221578,2026-03-01 22:43:57
6,6,7643,4083,10.038285,0.001051,WAITING,6,0.918439,2026-03-01 22:44:08
7,7,7643,4083,9.970468,0.001924,WAITING,7,1.225615,2026-03-01 22:44:19
8,8,7643,4083,10.104239,0.001619,WAITING,8,1.225794,2026-03-01 22:44:31
9,9,7643,4083,10.343692,0.001668,WAITING,9,0.919640,2026-03-01 22:44:42
10,10,7643,4083,10.256437,0.001492,WAITING,10,1.224451,2026-03-01 22:44:54
11,11,7643,4083,10.249157,0.001792,WAITING,11,0.920538,2026-03-01 22:45:05
12,12,7643,4083,10.612425,0.001086,WAITING,12,10.097114,2026-03-01 22:45:25
13,13,7643,4083,10.994075,0.001483,WAITING,13,0.612184,2026-03-01 22:45:37
14,14,7643,4083,10.769511,0.001458,WAITING,14,0.613345,2026-03-01 22:45:48
