t_sec,pid,cpu_raw,cpu_norm,rss_mb,peak_rss_mb,sys_cpu,sys_used_mb
0.00,78817,93.20,9.32,958.61,958.61,0.00,6441.95
0.52,78817,96.00,9.60,971.27,971.27,23.70,6367.23
1.03,78817,311.00,31.10,1072.52,1072.52,47.70,6363.23
1.54,78817,438.70,43.87,1084.45,1084.45,62.90,6352.94
2.04,78817,405.90,40.59,1086.70,1086.70,0.00,6333.95
2.54,78817,399.40,39.94,1087.62,1087.62,56.20,6333.78
3.05,78817,401.00,40.10,1090.30,1090.30,54.00,6333.78
3.56,78817,401.50,40.15,1092.28,1092.28,54.90,6334.22
4.06,78817,387.40,38.74,1092.52,1092.52,58.70,6363.14
4.56,78817,392.50,39.25,1093.06,1093.06,56.20,6363.45
5.07,78817,161.60,16.16,913.67,1093.06,68.40,6270.08
5.57,78817,0.30,0.03,913.67,1093.06,23.80,6282.41
6.08,78817,0.30,0.03,913.67,1093.06,70.50,6299.25
6.58,78817,0.10,0.01,913.67,1093.06,28.60,6304.80
7.09,78817,0.20,0.02,913.67,1093.06,33.60,6297.47
7.59,78817,0.20,0.02,913.67,1093.06,24.20,6307.16
8.10,78817,0.20,0.02,913.67,1093.06,46.40,6307.16
8.60,78817,0.20,0.02,913.67,1093.06,22.80,6381.75
9.11,78817,0.20,0.02,913.67,1093.06,0.00,6338.36
9.61,78817,0.20,0.02,826.61,1093.06,23.10,6160.70
10.12,78817,0.20,0.02,826.61,1093.06,0.00,6157.55
10.62,78817,0.20,0.02,826.61,1093.06,28.60,6162.86
11.13,78817,0.20,0.02,814.92,1093.06,64.10,6170.11
11.63,78817,0.20,0.02,814.92,1093.06,58.60,6102.92
12.13,78817,0.20,0.02,814.92,1093.06,53.90,6102.92
12.64,78817,0.30,0.03,814.92,1093.06,55.50,6109.72
13.14,78817,0.20,0.02,814.92,1093.06,57.70,6121.81
13.65,78817,0.20,0.02,775.34,1093.06,56.50,6143.19
14.15,78817,0.30,0.03,772.77,1093.06,0.00,6143.19
14.66,78817,0.20,0.02,772.77,1093.06,62.60,6149.91
15.16,78817,0.20,0.02,768.98,1093.06,0.00,6043.44
15.67,78817,0.20,0.02,768.98,1093.06,58.60,6019.78
16.17,78817,0.20,0.02,768.98,1093.06,0.00,6024.30
16.67,78817,0.20,0.02,736.48,1093.06,27.60,6196.58
17.18,78817,0.20,0.02,714.38,1093.06,0.00,6196.58
17.68,78817,0.20,0.02,702.44,1093.06,32.00,6137.31
