round,pulled_server_round,bytes_received_global,bytes_sent_update,train_sec,send_sec,ack_status,ack_current_round,rtt_sec,timestamp
0,0,7643,4083,5.156949,0.000815,WAITING,0,22.908309,2026-03-01 23:01:10
1,1,7643,4083,12.096686,0.002539,WAITING,1,0.615045,2026-03-01 23:01:23
2,2,7643,4083,11.598089,0.001305,WAITING,2,0.608411,2026-03-01 23:01:35
3,3,7643,4083,11.131270,0.001100,WAITING,3,0.612834,2026-03-01 23:01:47
4,4,7643,4083,10.107627,0.001511,WAITING,4,0.919863,2026-03-01 23:01:58
5,5,7643,4083,11.292682,0.001326,WAITING,5,0.613509,2026-03-01 23:02:10
6,6,7643,4083,12.228145,0.002260,WAITING,6,0.615372,2026-03-01 23:02:23
7,7,7643,4083,12.339323,0.001801,WAITING,7,0.307229,2026-03-01 23:02:35
8,8,7643,4083,11.950619,0.001051,WAITING,8,0.306095,2026-03-01 23:02:48
9,9,7643,4083,11.136798,0.001845,OK,10,0.306229,2026-03-01 23:02:59
10,10,7643,4083,11.047718,0.002856,OK,11,0.305676,2026-03-01 23:03:10
11,11,7643,4083,11.149458,0.000712,WAITING,11,9.476775,2026-03-01 23:03:31
12,12,7643,4083,11.401208,0.001084,WAITING,12,0.307281,2026-03-01 23:03:43
13,13,7643,4083,11.026461,0.001897,WAITING,13,0.307517,2026-03-01 23:03:54
14,14,7643,4083,11.727841,0.001850,WAITING,14,0.303120,2026-03-01 23:04:06
