t_sec,pid,cpu_raw,cpu_norm,rss_mb,peak_rss_mb,sys_cpu,sys_used_mb
0.00,82568,85.80,8.58,959.44,959.44,0.00,6237.67
0.52,82568,96.50,9.65,972.98,972.98,22.90,6244.59
1.04,82568,306.90,30.69,1072.09,1072.09,22.00,6253.81
1.55,82568,438.80,43.88,1087.59,1087.59,59.00,6234.12
2.05,82568,401.40,40.14,1079.83,1087.59,55.10,6234.12
2.56,82568,392.80,39.28,1080.36,1087.59,56.30,6208.16
3.06,82568,401.10,40.11,1081.06,1087.59,54.30,6211.31
3.57,82568,396.80,39.68,1081.48,1087.59,55.70,6214.69
4.07,82568,385.10,38.51,1083.53,1087.59,58.50,6214.69
4.58,82568,386.00,38.60,1085.17,1087.59,58.10,6206.19
5.08,82568,175.90,17.59,906.78,1087.59,60.20,6206.19
5.59,82568,0.30,0.03,906.78,1087.59,40.90,6169.62
6.09,82568,0.20,0.02,906.78,1087.59,0.00,6172.39
6.59,82568,0.20,0.02,906.78,1087.59,39.80,6168.23
7.10,82568,0.20,0.02,906.78,1087.59,26.80,6193.78
7.60,82568,0.30,0.03,827.81,1087.59,41.40,6328.16
8.10,82568,0.20,0.02,827.81,1087.59,23.30,6317.19
8.61,82568,0.20,0.02,817.78,1087.59,25.60,6134.73
9.11,82568,0.20,0.02,787.61,1087.59,24.40,6136.02
9.62,82568,0.20,0.02,687.97,1087.59,24.30,6001.20
10.12,82568,0.20,0.02,687.97,1087.59,21.50,5980.52
10.63,82568,0.20,0.02,688.02,1087.59,37.80,5980.08
11.13,82568,0.30,0.03,688.05,1087.59,0.00,5985.19
11.64,82568,0.30,0.03,688.05,1087.59,57.30,5921.31
12.14,82568,0.20,0.02,688.05,1087.59,51.90,5921.08
12.65,82568,0.30,0.03,688.05,1087.59,53.00,5905.00
13.15,82568,0.30,0.03,688.05,1087.59,55.20,5908.92
13.66,82568,0.20,0.02,688.05,1087.59,52.90,5908.11
14.16,82568,0.30,0.03,688.05,1087.59,0.00,5908.27
14.66,82568,142.00,14.20,798.84,1087.59,60.00,5826.92
15.16,82568,136.30,13.63,857.58,1087.59,0.00,5727.19
15.67,82568,138.40,13.84,887.88,1087.59,98.50,5574.02
16.18,82568,126.70,12.67,914.94,1087.59,99.80,5559.27
16.68,82568,152.70,15.27,930.89,1087.59,99.80,5473.75
17.19,82568,150.90,15.09,951.92,1087.59,100.00,5489.59
17.69,82568,162.60,16.26,963.45,1087.59,100.00,5456.77
18.20,82568,136.70,13.67,972.98,1087.59,100.00,5437.16
18.70,82568,157.70,15.77,980.42,1087.59,99.80,5448.73
19.21,82568,143.80,14.38,984.88,1087.59,100.00,5448.73
19.71,82568,131.40,13.14,987.77,1087.59,100.00,5446.67
20.21,82568,128.40,12.84,980.70,1087.59,100.00,5433.92
20.72,82568,96.50,9.65,971.81,1087.59,99.80,5512.19
21.22,82568,161.90,16.19,976.09,1087.59,100.00,5512.19
21.72,82568,146.90,14.69,980.38,1087.59,99.70,5368.09
22.23,82568,148.10,14.81,986.70,1087.59,100.00,5367.23
22.74,82568,164.20,16.42,989.66,1087.59,100.00,5376.11
23.24,82568,134.90,13.49,977.55,1087.59,100.00,5392.53
23.74,82568,159.10,15.91,976.41,1087.59,100.00,5399.12
24.25,82568,133.40,13.34,985.09,1087.59,100.00,5372.23
24.75,82568,138.90,13.89,986.23,1087.59,100.00,5393.72
25.26,82568,156.60,15.66,988.09,1087.59,0.00,5396.81
25.76,82568,145.10,14.51,986.94,1087.59,100.00,5389.56
26.27,82568,94.50,9.45,810.00,1087.59,100.00,5229.64
26.77,82568,0.30,0.03,810.00,1087.59,92.40,4602.77
27.28,82568,96.30,9.63,792.69,1087.59,55.20,5425.73
27.78,82568,141.10,14.11,794.34,1087.59,99.40,5359.56
28.29,82568,116.40,11.64,783.77,1087.59,0.00,5359.56
28.79,82568,156.90,15.69,732.36,1087.59,100.00,5350.98
29.30,82568,140.80,14.08,758.78,1087.59,100.00,5350.98
29.80,82568,158.20,15.82,769.92,1087.59,100.00,5362.12
30.30,82568,152.10,15.21,789.42,1087.59,100.00,5362.12
30.80,82568,130.50,13.05,804.66,1087.59,100.00,5378.64
31.31,82568,160.10,16.01,723.50,1087.59,99.40,5378.64
31.81,82568,147.20,14.72,726.16,1087.59,99.80,5350.39
32.32,82568,128.80,12.88,729.70,1087.59,100.00,5350.39
32.82,82568,139.60,13.96,735.28,1087.59,100.00,5329.11
33.33,82568,160.80,16.08,736.17,1087.59,100.00,5336.91
33.84,82568,157.10,15.71,739.34,1087.59,100.00,5344.59
34.34,82568,157.80,15.78,744.27,1087.59,0.00,5344.59
34.85,82568,143.30,14.33,736.05,1087.59,99.90,5319.91
35.35,82568,165.30,16.53,735.62,1087.59,100.00,5305.53
35.85,82568,152.50,15.25,738.22,1087.59,100.00,5302.84
36.36,82568,138.20,13.82,739.66,1087.59,100.00,5272.77
36.87,82568,141.40,14.14,736.72,1087.59,99.90,5278.66
37.37,82568,161.20,16.12,731.45,1087.59,0.00,5285.03
37.88,82568,128.60,12.86,732.23,1087.59,99.90,5293.06
38.38,82568,147.60,14.76,734.22,1087.59,99.70,5280.92
38.88,82568,94.20,9.42,557.33,1087.59,98.90,4821.52
39.39,82568,23.50,2.35,841.77,1087.59,91.50,4311.09
39.89,82568,156.40,15.64,815.19,1087.59,78.80,5306.59
40.40,82568,134.40,13.44,810.19,1087.59,100.00,5298.09
40.90,82568,157.40,15.74,814.12,1087.59,100.00,5310.67
41.41,82568,143.20,14.32,817.31,1087.59,100.00,5317.41
41.92,82568,158.50,15.85,822.75,1087.59,100.00,5306.94
42.42,82568,136.10,13.61,824.59,1087.59,0.00,5308.98
42.93,82568,155.10,15.51,820.36,1087.59,100.00,5323.19
43.43,82568,146.80,14.68,818.95,1087.59,99.80,5323.19
43.94,82568,149.20,14.92,813.88,1087.59,100.00,5308.47
44.44,82568,157.00,15.70,821.83,1087.59,100.00,5325.72
44.94,82568,147.30,14.73,815.53,1087.59,99.90,5317.33
45.45,82568,139.90,13.99,804.78,1087.59,100.00,5330.58
45.95,82568,135.40,13.54,800.00,1087.59,100.00,5317.59
46.46,82568,161.30,16.13,817.70,1087.59,100.00,5315.56
46.96,82568,147.50,14.75,825.38,1087.59,100.00,5314.64
47.47,82568,150.10,15.01,828.16,1087.59,100.00,5310.23
47.98,82568,154.90,15.49,827.67,1087.59,100.00,5324.38
48.48,82568,152.50,15.25,818.70,1087.59,0.00,5324.38
48.99,82568,135.50,13.55,814.83,1087.59,99.90,5313.41
49.49,82568,162.90,16.29,828.31,1087.59,100.00,5313.41
50.00,82568,160.60,16.06,830.22,1087.59,99.90,5313.59
50.50,82568,165.80,16.58,831.41,1087.59,100.00,5318.53
51.01,82568,76.00,7.60,652.12,1087.59,86.30,4430.89
51.51,82568,64.80,6.48,817.78,1087.59,0.00,5021.28
52.02,82568,145.80,14.58,817.73,1087.59,84.00,5306.61
52.52,82568,145.80,14.58,822.41,1087.59,100.00,5314.48
53.03,82568,150.80,15.08,822.16,1087.59,100.00,5320.06
53.53,82568,157.20,15.72,825.27,1087.59,0.00,5333.77
54.04,82568,153.30,15.33,825.86,1087.59,100.00,5312.48
54.54,82568,155.00,15.50,823.69,1087.59,100.00,5313.97
55.05,82568,148.60,14.86,825.08,1087.59,100.00,5304.66
55.55,82568,148.60,14.86,825.84,1087.59,100.00,5304.66
56.06,82568,157.70,15.77,828.73,1087.59,100.00,5315.52
56.56,82568,147.70,14.77,817.34,1087.59,100.00,5315.52
57.06,82568,161.90,16.19,823.02,1087.59,99.90,5308.53
57.57,82568,151.40,15.14,817.45,1087.59,100.00,5308.95
58.07,82568,153.80,15.38,826.67,1087.59,100.00,5318.42
58.58,82568,154.10,15.41,823.30,1087.59,0.00,5318.42
59.08,82568,164.80,16.48,823.05,1087.59,99.90,5314.52
59.59,82568,142.80,14.28,821.53,1087.59,100.00,5309.95
