t_sec,cpu_raw,cpu_norm,rss_mb,peak_rss_mb
0.00,27.10,2.71,527.78,527.78
0.51,0.30,0.03,527.78,527.78
1.01,0.20,0.02,527.78,527.78
1.51,0.10,0.01,527.78,527.78
2.02,0.20,0.02,527.78,527.78
2.52,0.20,0.02,527.78,527.78
3.03,0.20,0.02,527.78,527.78
3.53,0.20,0.02,527.78,527.78
4.04,0.20,0.02,527.78,527.78
4.54,0.10,0.01,527.77,527.78
5.05,0.20,0.02,527.77,527.78
5.55,0.10,0.01,527.77,527.78
6.06,0.10,0.01,527.77,527.78
6.56,0.10,0.01,527.77,527.78
7.07,0.10,0.01,527.77,527.78
7.57,0.10,0.01,527.77,527.78
8.08,0.10,0.01,527.77,527.78
8.58,0.10,0.01,527.77,527.78
9.09,0.10,0.01,527.77,527.78
9.59,0.10,0.01,527.77,527.78
10.14,0.10,0.01,527.77,527.78
10.65,0.10,0.01,527.77,527.78
11.15,0.10,0.01,527.77,527.78
11.66,0.50,0.05,528.33,528.33
12.16,0.10,0.01,528.33,528.33
12.67,0.10,0.01,528.33,528.33
13.17,0.10,0.01,528.33,528.33
13.67,0.10,0.01,528.33,528.33
14.18,0.10,0.01,528.33,528.33
14.69,0.10,0.01,528.33,528.33
15.19,0.10,0.01,528.33,528.33
15.69,0.10,0.01,528.33,528.33
16.20,0.10,0.01,528.33,528.33
16.70,0.20,0.02,528.33,528.33
17.21,0.30,0.03,528.34,528.34
17.71,0.20,0.02,528.34,528.34
18.22,0.50,0.05,528.34,528.34
18.72,0.30,0.03,528.36,528.36
19.23,0.20,0.02,528.36,528.36
19.73,0.30,0.03,528.38,528.38
20.23,0.30,0.03,528.38,528.38
20.73,0.30,0.03,528.38,528.38
21.24,0.30,0.03,528.38,528.38
21.74,0.20,0.02,416.78,528.38
22.25,0.60,0.06,395.53,528.38
22.75,0.30,0.03,395.53,528.38
23.26,0.30,0.03,395.58,528.38
23.76,0.30,0.03,395.59,528.38
24.26,0.40,0.04,395.72,528.38
24.77,0.20,0.02,395.72,528.38
25.27,0.30,0.03,395.72,528.38
25.78,0.30,0.03,395.73,528.38
26.29,0.20,0.02,395.77,528.38
26.79,0.30,0.03,395.77,528.38
27.29,0.60,0.06,395.86,528.38
27.79,0.60,0.06,395.89,528.38
28.30,0.80,0.08,395.89,528.38
28.80,1.00,0.10,395.91,528.38
29.31,0.40,0.04,395.91,528.38
29.81,0.30,0.03,395.91,528.38
30.31,0.40,0.04,395.91,528.38
30.82,0.40,0.04,395.91,528.38
31.32,0.30,0.03,395.91,528.38
31.82,0.40,0.04,395.94,528.38
32.33,0.40,0.04,395.94,528.38
32.83,0.40,0.04,396.11,528.38
33.34,0.40,0.04,396.11,528.38
33.84,0.60,0.06,396.11,528.38
34.35,0.50,0.05,396.11,528.38
34.85,0.40,0.04,396.11,528.38
35.35,0.50,0.05,396.11,528.38
35.86,0.40,0.04,396.11,528.38
36.36,0.20,0.02,396.11,528.38
36.87,0.40,0.04,396.11,528.38
37.37,0.30,0.03,396.11,528.38
37.87,0.20,0.02,396.11,528.38
38.37,0.30,0.03,396.11,528.38
38.87,0.30,0.03,396.14,528.38
39.38,0.20,0.02,396.14,528.38
39.89,0.40,0.04,396.14,528.38
40.39,0.30,0.03,396.14,528.38
40.89,0.40,0.04,396.14,528.38
41.40,0.50,0.05,396.14,528.38
41.90,0.30,0.03,396.14,528.38
42.40,0.60,0.06,396.14,528.38
42.91,0.30,0.03,396.14,528.38
43.41,0.30,0.03,396.14,528.38
