t_sec,pid,cpu_raw,cpu_norm,rss_mb,peak_rss_mb,sys_cpu,sys_used_mb
0.00,82146,27.20,2.72,530.28,530.28,20.00,5956.94
0.51,82146,0.20,0.02,530.28,530.28,17.10,5957.55
1.01,82146,0.20,0.02,530.28,530.28,16.00,5928.00
1.51,82146,0.10,0.01,530.28,530.28,32.70,5987.28
2.01,82146,0.20,0.02,530.28,530.28,18.60,5980.66
2.52,82146,0.20,0.02,530.28,530.28,12.90,5973.31
3.02,82146,0.20,0.02,530.28,530.28,13.10,5932.50
3.53,82146,0.20,0.02,530.28,530.28,13.10,5883.42
4.03,82146,0.20,0.02,530.28,530.28,13.60,5851.08
4.53,82146,0.10,0.01,530.27,530.28,13.80,5851.16
5.03,82146,0.20,0.02,530.27,530.28,13.10,5850.11
5.54,82146,0.20,0.02,530.27,530.28,13.40,5849.56
6.04,82146,0.20,0.02,530.27,530.28,13.30,5849.81
6.54,82146,0.20,0.02,530.27,530.28,13.50,5834.58
7.05,82146,0.10,0.01,530.27,530.28,19.00,5872.06
7.55,82146,0.10,0.01,530.27,530.28,19.90,5921.02
8.05,82146,0.10,0.01,530.27,530.28,18.50,5923.95
8.56,82146,0.10,0.01,530.27,530.28,24.00,5923.64
9.06,82146,0.20,0.02,530.27,530.28,54.00,5925.64
9.56,82146,0.10,0.01,530.27,530.28,39.80,5934.25
10.07,82146,0.10,0.01,530.27,530.28,26.70,5937.38
10.58,82146,0.10,0.01,530.27,530.28,23.30,5914.84
11.08,82146,0.10,0.01,530.27,530.28,44.60,5992.20
11.59,82146,0.10,0.01,530.27,530.28,22.70,6020.33
12.09,82146,0.10,0.01,530.27,530.28,22.70,6047.28
12.59,82146,0.10,0.01,530.27,530.28,22.70,6163.08
13.09,82146,1.30,0.13,531.20,531.20,22.70,6262.48
13.60,82146,0.10,0.01,531.20,531.20,28.40,6325.67
14.10,82146,0.10,0.01,531.20,531.20,63.30,6345.67
14.61,82146,0.10,0.01,531.20,531.20,63.90,6289.58
15.12,82146,0.10,0.01,531.20,531.20,53.20,6289.45
15.62,82146,0.10,0.01,531.20,531.20,55.30,6286.78
16.12,82146,0.10,0.01,531.20,531.20,54.00,6260.33
16.63,82146,0.10,0.01,531.20,531.20,57.40,6309.72
17.13,82146,0.10,0.01,531.20,531.20,61.10,6315.23
17.64,82146,0.10,0.01,531.20,531.20,64.10,6360.88
18.14,82146,0.40,0.04,531.20,531.20,35.60,6274.83
18.65,82146,0.70,0.07,531.22,531.22,36.30,6275.80
19.15,82146,0.40,0.04,531.22,531.22,58.60,6277.45
19.65,82146,0.30,0.03,531.22,531.22,26.10,6269.08
20.16,82146,0.30,0.03,531.22,531.22,26.00,6281.28
20.67,82146,0.20,0.02,531.22,531.22,25.10,6309.48
21.17,82146,0.30,0.03,531.22,531.22,47.40,6379.38
21.68,82146,0.30,0.03,531.22,531.22,25.50,6397.03
22.18,82146,1.20,0.12,531.27,531.27,23.80,6537.31
22.68,82146,0.40,0.04,531.27,531.27,25.20,6516.44
23.19,82146,0.30,0.03,531.27,531.27,40.40,6526.75
23.69,82146,0.30,0.03,531.30,531.30,62.80,6529.73
24.20,82146,0.30,0.03,531.30,531.30,55.90,6517.47
24.70,82146,0.30,0.03,531.30,531.30,54.90,6498.52
25.21,82146,0.30,0.03,531.30,531.30,53.20,6492.53
25.71,82146,0.40,0.04,531.30,531.30,53.70,6472.36
26.22,82146,0.20,0.02,531.30,531.30,56.90,6492.11
26.72,82146,0.40,0.04,531.30,531.30,56.80,6489.84
27.22,82146,0.40,0.04,531.33,531.33,54.30,6461.80
27.73,82146,0.40,0.04,531.33,531.33,20.50,6459.45
28.23,82146,0.70,0.07,531.34,531.34,41.30,6449.84
28.73,82146,0.60,0.06,531.36,531.36,42.90,6463.33
29.23,82146,0.30,0.03,531.36,531.36,28.10,6456.30
29.74,82146,0.50,0.05,531.36,531.36,23.20,6457.53
30.24,82146,0.70,0.07,531.36,531.36,38.50,6545.83
30.75,82146,0.30,0.03,531.38,531.38,26.50,6550.23
31.25,82146,0.50,0.05,531.38,531.38,23.70,6576.58
31.75,82146,1.50,0.15,531.45,531.45,23.50,6482.59
32.25,82146,0.40,0.04,486.72,531.45,25.40,6460.27
32.76,82146,0.50,0.05,486.64,531.45,30.00,6452.66
33.26,82146,0.50,0.05,486.64,531.45,63.00,6445.59
33.77,82146,0.50,0.05,486.66,531.45,57.10,6450.98
34.27,82146,0.60,0.06,486.66,531.45,54.10,6451.03
34.78,82146,0.50,0.05,486.66,531.45,53.50,6450.95
35.28,82146,0.50,0.05,486.66,531.45,55.70,6409.08
35.79,82146,0.60,0.06,486.66,531.45,59.40,6471.94
36.29,82146,0.50,0.05,486.66,531.45,59.60,6468.39
36.79,82146,0.50,0.05,486.66,531.45,67.80,6481.47
37.30,82146,0.80,0.08,486.70,531.45,59.00,6386.31
37.80,82146,0.50,0.05,486.72,531.45,31.00,6387.11
38.31,82146,0.70,0.07,486.72,531.45,28.60,6413.25
38.81,82146,0.70,0.07,486.72,531.45,22.30,6405.95
39.32,82146,0.50,0.05,486.72,531.45,36.80,6475.42
39.82,82146,0.70,0.07,486.73,531.45,30.60,6454.09
40.32,82146,0.70,0.07,486.73,531.45,30.90,6399.64
40.83,82146,1.50,0.15,486.77,531.45,25.90,6408.34
41.33,82146,0.80,0.08,486.77,531.45,34.70,6435.27
41.83,82146,0.70,0.07,486.77,531.45,65.00,6386.83
42.34,82146,0.60,0.06,486.77,531.45,59.80,6368.12
42.84,82146,0.90,0.09,486.77,531.45,71.70,6374.61
43.35,82146,0.80,0.08,486.78,531.45,60.50,6369.81
43.85,82146,0.60,0.06,486.78,531.45,52.90,6359.28
44.35,82146,0.80,0.08,486.78,531.45,54.40,6384.48
44.86,82146,0.60,0.06,486.72,531.45,54.70,6349.97
45.36,82146,0.70,0.07,486.72,531.45,53.40,6320.97
45.87,82146,1.20,0.12,487.00,531.45,39.90,6241.62
46.37,82146,1.10,0.11,487.03,531.45,13.70,6218.75
46.88,82146,1.10,0.11,487.08,531.45,13.30,6210.55
47.38,82146,1.80,0.18,487.09,531.45,13.20,6210.72
47.88,82146,1.20,0.12,487.09,531.45,13.70,6198.41
48.39,82146,1.10,0.11,487.09,531.45,16.30,6241.03
48.89,82146,1.20,0.12,487.09,531.45,19.10,6246.83
49.39,82146,0.80,0.08,487.09,531.45,20.50,6302.95
49.90,82146,1.10,0.11,487.11,531.45,20.40,6307.25
50.40,82146,1.10,0.11,487.11,531.45,54.20,6298.92
50.91,82146,0.60,0.06,487.12,531.45,36.20,6282.62
51.41,82146,0.60,0.06,487.12,531.45,32.00,6289.22
51.91,82146,0.70,0.07,487.12,531.45,24.00,6314.53
52.42,82146,0.90,0.09,487.12,531.45,47.90,6400.09
52.93,82146,0.80,0.08,481.05,531.45,22.90,6383.86
53.43,82146,0.70,0.07,468.38,531.45,23.40,6384.42
53.93,82146,1.70,0.17,354.00,531.45,26.50,6235.30
54.44,82146,0.90,0.09,354.03,531.45,22.90,6244.00
54.94,82146,0.80,0.08,354.11,531.45,21.40,6253.81
55.45,82146,0.70,0.07,354.06,531.45,58.70,6232.05
55.95,82146,1.10,0.11,354.12,531.45,56.70,6234.12
56.45,82146,0.80,0.08,354.12,531.45,55.10,6210.59
56.96,82146,0.80,0.08,354.12,531.45,56.20,6211.31
57.46,82146,1.00,0.10,354.12,531.45,55.00,6213.59
57.96,82146,0.70,0.07,354.12,531.45,57.90,6214.69
58.47,82146,1.00,0.10,354.12,531.45,58.00,6206.48
58.97,82146,0.90,0.09,354.16,531.45,59.30,6206.19
59.48,82146,0.90,0.09,354.34,531.45,31.40,6164.36
59.98,82146,0.90,0.09,354.34,531.45,100.00,6170.94
60.49,82146,0.90,0.09,354.36,531.45,42.00,6176.41
60.99,82146,0.80,0.08,354.36,531.45,25.40,6179.97
61.50,82146,1.30,0.13,354.36,531.45,44.60,6320.78
62.00,82146,1.00,0.10,354.36,531.45,22.00,6317.19
62.51,82146,0.80,0.08,354.36,531.45,25.10,6248.58
63.01,82146,1.00,0.10,354.36,531.45,27.30,6136.02
63.52,82146,2.10,0.21,354.39,531.45,24.50,6000.27
64.02,82146,0.70,0.07,354.41,531.45,22.30,6033.02
64.52,82146,1.00,0.10,354.41,531.45,37.70,5967.12
65.03,82146,1.30,0.13,354.41,531.45,66.70,5985.19
65.53,82146,1.00,0.10,354.42,531.45,57.80,5922.39
66.04,82146,1.20,0.12,354.42,531.45,52.60,5921.08
66.54,82146,1.20,0.12,354.42,531.45,53.10,5927.06
67.05,82146,0.80,0.08,354.42,531.45,54.20,5908.92
67.55,82146,1.30,0.13,354.47,531.45,53.00,5904.45
68.06,82146,1.20,0.12,354.48,531.45,52.50,5908.27
68.56,82146,1.80,0.18,355.72,531.45,54.90,5826.42
69.06,82146,1.00,0.10,352.78,531.45,97.50,5727.19
69.57,82146,0.30,0.03,352.80,531.45,98.30,5564.81
70.07,82146,0.20,0.02,276.72,531.45,99.80,5559.27
70.57,82146,0.40,0.04,269.80,531.45,99.80,5506.50
71.08,82146,0.20,0.02,269.72,531.45,100.00,5489.59
71.58,82146,0.10,0.01,269.72,531.45,100.00,5445.17
72.09,82146,0.20,0.02,269.75,531.45,100.00,5437.16
72.59,82146,0.20,0.02,269.75,531.45,99.80,5434.12
73.09,82146,0.20,0.02,269.84,531.45,100.00,5448.73
73.59,82146,0.20,0.02,269.81,531.45,100.00,5433.62
74.10,82146,0.30,0.03,269.56,531.45,100.00,5433.92
74.60,82146,0.20,0.02,267.67,531.45,99.90,5511.94
75.11,82146,0.20,0.02,267.78,531.45,99.60,5512.19
75.61,82146,0.20,0.02,267.75,531.45,99.60,5409.25
76.12,82146,0.10,0.01,267.75,531.45,100.00,5367.23
76.62,82146,0.10,0.01,267.75,531.45,100.00,5366.19
77.12,82146,0.20,0.02,267.56,531.45,100.00,5399.06
77.63,82146,0.10,0.01,267.56,531.45,100.00,5381.72
78.13,82146,0.10,0.01,267.56,531.45,100.00,5371.84
78.64,82146,0.10,0.01,267.56,531.45,100.00,5387.28
79.14,82146,0.10,0.01,267.56,531.45,100.00,5395.36
79.65,82146,0.10,0.01,267.56,531.45,100.00,5385.66
80.15,82146,0.70,0.07,271.77,531.45,100.00,5229.45
80.66,82146,0.70,0.07,272.80,531.45,99.40,4935.88
81.16,82146,2.20,0.22,275.33,531.45,59.80,5425.73
81.66,82146,0.60,0.06,275.22,531.45,99.20,5357.05
82.17,82146,0.10,0.01,275.22,531.45,100.00,5359.56
82.67,82146,0.20,0.02,275.22,531.45,100.00,5361.22
83.18,82146,0.30,0.03,275.22,531.45,100.00,5350.98
83.68,82146,0.30,0.03,275.22,531.45,100.00,5355.31
84.18,82146,0.20,0.02,275.22,531.45,100.00,5362.12
84.69,82146,0.20,0.02,275.22,531.45,100.00,5360.12
